DIA,SEMANA,numero
05/13/2019,124,862
05/14/2019,124,863
05/15/2019,124,864
05/16/2019,124,865
05/17/2019,124,866
05/18/2019,124,867
05/19/2019,125,868
05/20/2019,125,869
05/21/2019,125,870
05/22/2019,125,871
05/23/2019,125,872
05/24/2019,125,873
05/25/2019,125,874
05/26/2019,126,875
05/27/2019,126,876
05/28/2019,126,877
05/29/2019,126,878
05/30/2019,126,879
05/31/2019,126,880
06/01/2019,126,881
06/02/2019,127,882
06/03/2019,127,883
06/04/2019,127,884
06/05/2019,127,885
06/06/2019,127,886
06/07/2019,127,887
06/08/2019,127,888
06/09/2019,128,889
06/10/2019,128,890
06/11/2019,128,891
06/12/2019,128,892
06/13/2019,128,893
06/14/2019,128,894
06/15/2019,128,895
06/16/2019,129,896
06/17/2019,129,897
06/18/2019,129,898
06/19/2019,129,899
06/20/2019,129,900
06/21/2019,129,901
06/22/2019,129,902
06/23/2019,130,903
06/24/2019,130,904
06/25/2019,130,905
06/26/2019,130,906
06/27/2019,130,907
06/28/2019,130,908
06/29/2019,130,909
06/30/2019,131,910
07/01/2019,131,911
07/02/2019,131,912
07/03/2019,131,913
07/04/2019,131,914
07/05/2019,131,915
07/06/2019,131,916
07/07/2019,132,917
07/08/2019,132,918
07/09/2019,132,919
07/10/2019,132,920
07/11/2019,132,921
07/12/2019,132,922
07/13/2019,132,923
07/14/2019,133,924
07/15/2019,133,925
07/16/2019,133,926
07/17/2019,133,927
07/18/2019,133,928
07/19/2019,133,929
07/20/2019,133,930
07/21/2019,134,931
07/22/2019,134,932
07/23/2019,134,933
07/24/2019,134,934
07/25/2019,134,935
07/26/2019,134,936
07/27/2019,134,937
07/28/2019,135,938
07/29/2019,135,939
07/30/2019,135,940
07/31/2019,135,941
08/01/2019,135,942
08/02/2019,135,943
08/03/2019,135,944
08/04/2019,136,945
08/05/2019,136,946
08/06/2019,136,947
08/07/2019,136,948
08/08/2019,136,949
08/09/2019,136,950
08/10/2019,136,951
08/11/2019,137,952
08/12/2019,137,953
08/13/2019,137,954
08/14/2019,137,955
08/15/2019,137,956
08/16/2019,137,957
08/17/2019,137,958
08/18/2019,138,959
08/19/2019,138,960
08/20/2019,138,961
08/21/2019,138,962
08/22/2019,138,963
08/23/2019,138,964
08/24/2019,138,965
08/25/2019,139,966
08/26/2019,139,967
08/27/2019,139,968
08/28/2019,139,969
08/29/2019,139,970
08/30/2019,139,971
08/31/2019,139,972
09/01/2019,140,973
09/02/2019,140,974
09/03/2019,140,975
09/04/2019,140,976
09/05/2019,140,977
09/06/2019,140,978
09/07/2019,140,979
09/08/2019,141,980
09/09/2019,141,981
09/10/2019,141,982
09/11/2019,141,983
09/12/2019,141,984
09/13/2019,141,985
09/14/2019,141,986
09/15/2019,142,987
09/16/2019,142,988
09/17/2019,142,989
09/18/2019,142,990
09/19/2019,142,991
09/20/2019,142,992
09/21/2019,142,993
09/22/2019,143,994
09/23/2019,143,995
09/24/2019,143,996
09/25/2019,143,997
09/26/2019,143,998
09/27/2019,143,999
09/28/2019,143,1000
09/29/2019,144,1001
09/30/2019,144,1002
10/01/2019,144,1003
10/02/2019,144,1004
10/03/2019,144,1005
10/04/2019,144,1006
10/05/2019,144,1007
10/06/2019,145,1008
10/07/2019,145,1009
10/08/2019,145,1010
10/09/2019,145,1011
10/10/2019,145,1012
10/11/2019,145,1013
10/12/2019,145,1014
10/13/2019,146,1015
10/14/2019,146,1016
10/15/2019,146,1017
10/16/2019,146,1018
10/17/2019,146,1019
10/18/2019,146,1020
10/19/2019,146,1021
10/20/2019,147,1022
10/21/2019,147,1023
10/22/2019,147,1024
10/23/2019,147,1025
10/24/2019,147,1026
10/25/2019,147,1027
10/26/2019,147,1028
10/27/2019,148,1029
10/28/2019,148,1030
10/29/2019,148,1031
10/30/2019,148,1032
10/31/2019,148,1033
11/01/2019,148,1034
11/02/2019,148,1035
11/03/2019,149,1036
11/04/2019,149,1037
11/05/2019,149,1038
11/06/2019,149,1039
11/07/2019,149,1040
11/08/2019,149,1041
